time,record,u,v,w,Tsonica,coderr,voltaje
2012-01-04 01:00:04.95,36882499.0,-1.11,-1.18,-0.27,13.71,0.0,12.0
2012-01-04 01:00:05,36882500.0,-1.13,-1.14,-0.18,13.71,0.0,12.0
2012-01-04 01:00:05.05,36882501.0,-1.06,-1.05,0.02,13.74,0.0,12.0
2012-01-04 01:00:05.1,36882502.0,-1.02,-1.08,-0.04,13.71,0.0,12.0
2012-01-04 01:00:05.15,36882503.0,-1.03,-1.13,-0.03,13.74,0.0,12.0
2012-01-04 01:00:05.2,36882504.0,-0.96,-1.16,-0.03,13.63,0.0,12.0
2012-01-04 01:00:05.25,36882505.0,-0.97,-1.14,0.0,13.66,0.0,12.0
2012-01-04 01:00:05.3,36882506.0,-0.96,-1.27,-0.07,13.54,0.0,12.0
2012-01-04 01:00:05.35,36882507.0,-0.95,-1.26,-0.15,13.52,0.0,12.0
2012-01-04 01:00:05.4,36882508.0,-0.99,-1.2,-0.13,13.49,0.0,12.0
2012-01-04 01:00:05.45,36882509.0,-0.82,-1.31,-0.3,13.52,0.0,12.0
2012-01-04 01:00:05.5,36882510.0,-0.82,-1.21,-0.4,13.64,0.0,12.0
2012-01-04 01:00:05.55,36882511.0,-0.78,-1.11,-0.23,13.63,0.0,12.0
2012-01-04 01:00:05.6,36882512.0,-0.93,-1.12,-0.09,13.58,0.0,12.0
2012-01-04 01:00:05.65,36882513.0,-0.76,-1.25,-0.11,13.56,0.0,12.0
2012-01-04 01:00:05.7,36882514.0,-0.78,-1.36,-0.16,13.49,0.0,12.0
2012-01-04 01:00:05.75,36882515.0,-0.68,-1.36,-0.12,13.66,0.0,12.0
2012-01-04 01:00:05.8,36882516.0,-0.67,-1.47,-0.21,13.71,0.0,12.0
2012-01-04 01:00:05.85,36882517.0,-0.68,-1.52,-0.19,13.74,0.0,12.0
2012-01-04 01:00:05.9,36882518.0,-0.64,-1.52,-0.17,13.76,0.0,12.0
2012-01-04 01:00:05.95,36882519.0,-0.66,-1.45,-0.1,13.74,0.0,12.0
2012-01-04 01:00:06,36882520.0,-0.76,-1.49,-0.12,13.61,0.0,12.0
2012-01-04 01:00:06.05,36882521.0,-0.66,-1.45,-0.1,13.58,0.0,12.0
2012-01-04 01:00:06.1,36882522.0,-0.65,-1.37,-0.09,13.58,0.0,12.0
2012-01-04 01:00:06.15,36882523.0,-0.72,-1.34,0.08,13.44,0.0,12.0
2012-01-04 01:00:06.2,36882524.0,-0.68,-1.44,0.12,13.52,0.0,12.0
2012-01-04 01:00:06.25,36882525.0,-0.77,-1.22,0.12,13.47,0.0,12.0
2012-01-04 01:00:06.3,36882526.0,-0.75,-1.14,0.14,13.42,0.0,12.0
2012-01-04 01:00:06.35,36882527.0,-0.83,-1.22,0.0,13.51,0.0,12.0
2012-01-04 01:00:06.4,36882528.0,-0.8,-1.26,-0.03,13.47,0.0,12.0
2012-01-04 01:00:06.45,36882529.0,-0.73,-1.32,-0.03,13.58,0.0,12.0
2012-01-04 01:00:06.5,36882530.0,-0.79,-1.22,-0.21,13.61,0.0,12.0
2012-01-04 01:00:06.55,36882531.0,-0.95,-1.23,-0.24,13.59,0.0,12.0
2012-01-04 01:00:06.6,36882532.0,-0.95,-1.23,-0.24,13.59,0.0,12.0
2012-01-04 01:00:06.65,36882533.0,-0.81,-1.12,-0.17,13.58,0.0,12.0
2012-01-04 01:00:06.7,36882534.0,-0.74,-1.09,-0.12,13.61,0.0,12.0
2012-01-04 01:00:06.75,36882535.0,-0.8,-1.09,-0.01,13.63,0.0,12.0
2012-01-04 01:00:06.8,36882536.0,-0.9,-1.01,0.0,13.59,0.0,12.0
2012-01-04 01:00:06.85,36882537.0,-1.09,-0.93,-0.15,13.63,0.0,12.0
2012-01-04 01:00:06.9,36882538.0,-1.06,-0.98,-0.1,13.63,0.0,12.0
2012-01-04 01:00:06.95,36882539.0,-1.07,-0.88,-0.04,13.66,0.0,12.0
2012-01-04 01:00:07,36882540.0,-1.1,-0.88,0.07,13.63,0.0,12.0
2012-01-04 01:00:07.05,36882541.0,-1.16,-0.8,0.28,13.63,0.0,12.0
2012-01-04 01:00:07.1,36882542.0,-1.09,-0.93,0.21,13.49,0.0,12.0
2012-01-04 01:00:07.15,36882543.0,-1.05,-0.97,0.11,13.44,0.0,12.0
2012-01-04 01:00:07.2,36882544.0,-1.04,-0.94,0.01,13.44,0.0,12.0
2012-01-04 01:00:07.25,36882545.0,-0.96,-1.01,0.06,13.41,0.0,12.0
2012-01-04 01:00:07.3,36882546.0,-0.92,-0.92,0.01,13.49,0.0,12.0
2012-01-04 01:00:07.35,36882547.0,-1.02,-0.97,-0.07,13.49,0.0,12.0
2012-01-04 01:00:07.4,36882548.0,-1.15,-1.04,-0.22,13.51,0.0,12.0
2012-01-04 01:00:07.45,36882549.0,-1.21,-0.97,-0.16,13.51,0.0,12.0
2012-01-04 01:00:07.5,36882550.0,-1.27,-1.01,-0.11,13.52,0.0,12.0
2012-01-04 01:00:07.55,36882551.0,-1.32,-1.0,-0.11,13.54,0.0,12.0
2012-01-04 01:00:07.6,36882552.0,-1.29,-0.95,-0.15,13.58,0.0,12.0
2012-01-04 01:00:07.65,36882553.0,-1.31,-0.9,-0.12,13.59,0.0,12.0
2012-01-04 01:00:07.7,36882554.0,-1.23,-0.86,-0.19,13.63,0.0,12.0
2012-01-04 01:00:07.75,36882555.0,-1.28,-0.8,-0.03,13.58,0.0,12.0
2012-01-04 01:00:07.8,36882556.0,-1.19,-0.8,-0.08,13.59,0.0,12.0
2012-01-04 01:00:07.85,36882557.0,-1.16,-0.79,-0.02,13.52,0.0,12.0
2012-01-04 01:00:07.9,36882558.0,-1.2,-0.76,-0.01,13.52,0.0,12.0
2012-01-04 01:00:07.95,36882559.0,-1.26,-0.81,-0.04,13.61,0.0,12.0
2012-01-04 01:00:08,36882560.0,-1.26,-0.91,-0.08,13.63,0.0,12.0
2012-01-04 01:00:08.05,36882561.0,-1.22,-0.91,-0.08,13.61,0.0,12.0
2012-01-04 01:00:08.1,36882562.0,-1.16,-1.03,-0.06,13.49,0.0,12.0
2012-01-04 01:00:08.15,36882563.0,-1.16,-1.03,-0.06,13.49,0.0,12.0
2012-01-04 01:00:08.2,36882564.0,-1.07,-1.13,-0.16,13.51,0.0,12.0
2012-01-04 01:00:08.25,36882565.0,-1.1,-1.15,-0.15,13.69,0.0,12.0
2012-01-04 01:00:08.3,36882566.0,-1.05,-1.16,-0.13,13.71,0.0,12.0
2012-01-04 01:00:08.35,36882567.0,-0.99,-1.14,-0.19,13.71,0.0,12.0
2012-01-04 01:00:08.4,36882568.0,-1.08,-1.2,-0.17,13.81,0.0,12.0
2012-01-04 01:00:08.45,36882569.0,-1.13,-1.13,-0.24,13.79,0.0,12.0
2012-01-04 01:00:08.5,36882570.0,-1.13,-1.13,-0.24,13.79,0.0,12.0
2012-01-04 01:00:08.55,36882571.0,-1.17,-1.16,-0.27,13.76,0.0,12.0
2012-01-04 01:00:08.6,36882572.0,-1.15,-1.19,-0.3,13.74,0.0,12.0
2012-01-04 01:00:08.65,36882573.0,-1.12,-1.19,-0.28,13.76,0.0,12.0
2012-01-04 01:00:08.7,36882574.0,-1.17,-1.16,-0.27,13.76,0.0,12.0
2012-01-04 01:00:08.75,36882575.0,-1.11,-1.22,-0.32,13.76,0.0,12.0
2012-01-04 01:00:08.8,36882576.0,-1.05,-1.34,-0.33,13.81,0.0,12.0
2012-01-04 01:00:08.85,36882577.0,-1.09,-1.26,-0.35,13.74,0.0,12.0
2012-01-04 01:00:08.9,36882578.0,-1.18,-1.25,-0.4,13.74,0.0,12.0
2012-01-04 01:00:08.95,36882579.0,-1.16,-1.2,-0.43,13.71,0.0,12.0
2012-01-04 01:00:09,36882580.0,-1.18,-1.25,-0.4,13.74,0.0,12.0
2012-01-04 01:00:09.05,36882581.0,-1.12,-1.38,-0.34,13.76,0.0,12.0
2012-01-04 01:00:09.1,36882582.0,-1.14,-1.37,-0.34,13.93,0.0,12.0
