"TOA5","42214","CR1000","42214","CR1000.Std.22","CPU:MAIZ_PIPE_SLOWSEQ_visto_corto.CR1","14486","Table2"
"TIMESTAMP","RECORD","u","v","w","Tsonica","coderr","vol"
"TS","RN","m/s","m/s","m/s","Deg C","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2012-01-04 12:27:21.95",37704167.00,2.77,-0.84,-0.74,27.84,0.00,14.90
"2012-01-04 12:27:22",37704168.00,2.78,-0.92,-0.81,28.10,0.00,14.90
"2012-01-04 12:27:22.05",37704169.00,2.16,-1.12,0.16,28.36,0.00,14.90
"2012-01-04 12:27:22.1",37704170.00,2.68,-0.72,0.49,28.47,0.00,14.90
"2012-01-04 12:27:22.15",37704171.00,2.80,-1.06,0.58,28.50,0.00,14.90
"2012-01-04 12:27:22.2",37704172.00,2.61,-1.06,0.61,28.55,0.00,14.90
"2012-01-04 12:27:22.25",37704173.00,2.38,-1.32,0.93,28.59,0.00,14.90
"2012-01-04 12:27:22.3",37704174.00,2.14,-1.08,0.89,28.59,0.00,14.90
"2012-01-04 12:27:22.35",37704175.00,2.12,-1.39,0.51,28.50,0.00,14.90
"2012-01-04 12:27:22.4",37704176.00,2.67,-1.10,0.54,28.47,0.00,14.90
"2012-01-04 12:27:22.45",37704177.00,2.74,-0.86,0.40,28.38,0.00,14.90
"2012-01-04 12:27:22.5",37704178.00,2.83,-0.47,0.71,28.31,0.00,14.90
"2012-01-04 12:27:22.55",37704179.00,2.74,-0.88,0.04,28.19,0.00,14.90
"2012-01-04 12:27:22.6",37704180.00,2.82,-0.56,0.14,28.02,0.00,14.90
"2012-01-04 12:27:22.65",37704181.00,2.71,-0.75,0.14,28.36,0.00,14.90
"2012-01-04 12:27:22.7",37704182.00,2.64,-0.71,0.64,28.45,0.00,14.90
"2012-01-04 12:27:22.75",37704183.00,2.69,-0.93,0.55,28.47,0.00,14.90
"2012-01-04 12:27:22.8",37704184.00,2.22,-0.96,0.45,28.59,0.00,14.90
"2012-01-04 12:27:22.85",37704185.00,1.92,-1.04,0.89,28.47,0.00,14.90
"2012-01-04 12:27:22.9",37704186.00,2.23,-0.97,0.79,28.71,0.00,14.90
"2012-01-04 12:27:22.95",37704187.00,2.22,-0.93,0.98,28.76,0.00,14.90
"2012-01-04 12:27:23",37704188.00,2.33,-1.26,1.12,28.93,0.00,14.90
"2012-01-04 12:27:23.05",37704189.00,2.45,-1.34,0.87,29.11,0.00,14.90
"2012-01-04 12:27:23.1",37704190.00,2.44,-1.50,0.95,29.19,0.00,14.90
"2012-01-04 12:27:23.15",37704191.00,2.35,-1.65,0.73,29.02,0.00,14.90
"2012-01-04 12:27:23.2",37704192.00,2.73,-1.62,0.44,27.97,0.00,14.90
"2012-01-04 12:27:23.25",37704193.00,2.65,-1.37,0.39,27.62,0.00,14.90
"2012-01-04 12:27:23.3",37704194.00,2.89,-1.26,0.24,27.67,0.00,14.90
"2012-01-04 12:27:23.35",37704195.00,2.89,-1.26,0.24,27.72,0.00,14.90
"2012-01-04 12:27:23.4",37704196.00,2.84,-1.22,0.17,27.62,0.00,14.90
"2012-01-04 12:27:23.45",37704197.00,2.87,-1.17,0.15,27.65,0.00,14.90
"2012-01-04 12:27:23.5",37704198.00,3.10,-1.30,-0.07,27.63,0.00,14.90
"2012-01-04 12:27:23.55",37704199.00,3.35,-1.38,-0.04,28.15,0.00,14.90
"2012-01-04 12:27:23.6",37704200.00,3.38,-1.84,0.12,28.10,0.00,14.90
"2012-01-04 12:27:23.65",37704201.00,3.08,-1.83,-0.04,27.70,0.00,14.90
"2012-01-04 12:27:23.7",37704202.00,3.08,-1.84,-0.11,27.77,0.00,14.90
"2012-01-04 12:27:23.75",37704203.00,2.93,-1.87,-0.19,27.80,0.00,14.90
"2012-01-04 12:27:23.8",37704204.00,2.86,-1.79,0.05,27.89,0.00,14.90
"2012-01-04 12:27:23.85",37704205.00,3.07,-1.54,0.06,27.98,0.00,14.90
"2012-01-04 12:27:23.9",37704206.00,3.09,-1.38,0.22,27.92,0.00,14.90
"2012-01-04 12:27:23.95",37704207.00,3.09,-1.26,0.34,27.85,0.00,14.90
"2012-01-04 12:27:24",37704208.00,2.87,-1.46,0.36,27.88,0.00,14.90
"2012-01-04 12:27:24.05",37704209.00,2.86,-1.59,0.47,27.94,0.00,14.90
"2012-01-04 12:27:24.1",37704210.00,2.90,-1.57,0.59,28.01,0.00,14.90
"2012-01-04 12:27:24.15",37704211.00,2.85,-1.82,0.39,28.10,0.00,14.90
"2012-01-04 12:27:24.2",37704212.00,2.84,-2.06,0.46,28.24,0.00,14.90
"2012-01-04 12:27:24.25",37704213.00,2.90,-2.07,0.10,28.18,0.00,14.90
"2012-01-04 12:27:24.3",37704214.00,2.66,-1.76,-0.35,28.05,0.00,14.90
"2012-01-04 12:27:24.35",37704215.00,2.63,-1.68,-0.12,28.10,0.00,14.90
"2012-01-04 12:27:24.4",37704216.00,2.83,-2.35,-0.34,28.03,0.00,14.90
"2012-01-04 12:27:24.45",37704217.00,2.82,-2.61,-0.34,27.92,0.00,14.90
"2012-01-04 12:27:24.5",37704218.00,2.71,-2.65,-0.07,28.06,0.00,14.90
"2012-01-04 12:27:24.55",37704219.00,2.73,-2.53,-0.22,28.03,0.00,14.90
"2012-01-04 12:27:24.6",37704220.00,2.64,-2.53,-0.07,27.89,0.00,14.90
"2012-01-04 12:27:24.65",37704221.00,2.35,-2.61,-0.13,27.92,0.00,14.90
"2012-01-04 12:27:24.7",37704222.00,2.30,-2.71,-0.31,27.66,0.00,14.90
"2012-01-04 12:27:24.75",37704223.00,2.36,-2.70,-0.37,27.72,0.00,14.90
"2012-01-04 12:27:24.8",37704224.00,2.95,-2.83,-0.16,28.76,0.00,14.90
"2012-01-04 12:27:24.85",37704225.00,2.84,-2.52,0.03,28.70,0.00,14.90
"2012-01-04 12:27:24.9",37704226.00,2.40,-2.32,-0.06,28.29,0.00,14.90
"2012-01-04 12:27:24.95",37704227.00,2.24,-2.40,-0.30,27.94,0.00,14.90
"2012-01-04 12:27:25",37704228.00,2.23,-2.30,0.09,27.79,0.00,14.90
"2012-01-04 12:27:25.05",37704229.00,2.40,-2.40,0.02,27.85,0.00,14.90
"2012-01-04 12:27:25.1",37704230.00,2.41,-2.46,0.10,27.94,0.00,14.90
"2012-01-04 12:27:25.15",37704231.00,2.45,-2.40,0.14,27.92,0.00,14.90
"2012-01-04 12:27:25.2",37704232.00,2.48,-2.27,0.10,27.94,0.00,14.90
"2012-01-04 12:27:25.25",37704233.00,2.55,-2.31,0.02,27.98,0.00,14.90
"2012-01-04 12:27:25.3",37704234.00,2.38,-2.26,0.14,28.03,0.00,14.90
"2012-01-04 12:27:25.35",37704235.00,2.23,-2.19,0.21,27.93,0.00,14.90
"2012-01-04 12:27:25.4",37704236.00,2.24,-2.34,0.21,27.93,0.00,14.90
"2012-01-04 12:27:25.45",37704237.00,2.43,-2.43,-0.08,27.92,0.00,14.90
"2012-01-04 12:27:25.5",37704238.00,2.60,-2.48,-0.03,27.98,0.00,14.90
"2012-01-04 12:27:25.55",37704239.00,2.75,-2.48,-0.07,28.03,0.00,14.90
"2012-01-04 12:27:25.6",37704240.00,2.86,-2.35,0.05,28.10,0.00,14.90
"2012-01-04 12:27:25.65",37704241.00,3.23,-2.15,0.03,28.13,0.00,14.90
"2012-01-04 12:27:25.7",37704242.00,3.21,-2.12,-0.03,28.06,0.00,14.90
"2012-01-04 12:27:25.75",37704243.00,3.11,-2.19,-0.01,28.10,0.00,14.90
"2012-01-04 12:27:25.8",37704244.00,2.87,-2.03,0.35,28.06,0.00,14.90
"2012-01-04 12:27:25.85",37704245.00,2.64,-2.53,-0.61,28.05,0.00,14.90
"2012-01-04 12:27:25.9",37704246.00,2.87,-1.90,-0.37,27.89,0.00,14.90
"2012-01-04 12:27:25.95",37704247.00,3.33,-2.15,0.00,28.10,0.00,14.90
"2012-01-04 12:27:26",37704248.00,3.10,-2.16,0.19,28.13,0.00,14.90
"2012-01-04 12:27:26.05",37704249.00,2.63,-2.05,-0.30,28.06,0.00,14.90
"2012-01-04 12:27:26.1",37704250.00,2.69,-1.57,-0.53,28.07,0.00,14.90
"2012-01-04 12:27:26.15",37704251.00,2.73,-2.04,-0.24,28.01,0.00,14.90
"2012-01-04 12:27:26.2",37704252.00,2.41,-2.33,-0.13,28.03,0.00,14.90
"2012-01-04 12:27:26.25",37704253.00,2.75,-1.90,0.02,28.03,0.00,14.90
"2012-01-04 12:27:26.3",37704254.00,3.10,-2.16,0.19,28.13,0.00,14.90
"2012-01-04 12:27:26.35",37704255.00,2.46,-2.54,0.27,28.15,0.00,14.90
"2012-01-04 12:27:26.4",37704256.00,1.84,-2.60,0.31,28.40,0.00,14.90
"2012-01-04 12:27:26.45",37704257.00,1.57,-2.60,-0.11,28.50,0.00,14.90
